audio,bloque_id,chars,subcaso,fecha,tipo,y2_sa,y4_nv,y10_rep,n_sa,n_nv,n_rep
catatumbo,catatumbo_c0018,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.0,0.0,20.0,0.0,0.0
catatumbo,catatumbo_c0019,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1458,0.9375,20.0,1.0,3.0
catatumbo,catatumbo_c0020,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,1.0,0.0,11.0,7.0,0.0
catatumbo,catatumbo_c0021,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.303,0.3864,10.0,2.0,2.0
catatumbo,catatumbo_c0022,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.375,0.2083,0.0,5.0,2.0,0.0
catatumbo,catatumbo_c0023,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.5354,0.9583,0.1607,5.0,9.0,1.0
catatumbo,catatumbo_c0024,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.0,0.1442,15.0,0.0,1.0
catatumbo,catatumbo_c0025,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.6509,0.0,0.2273,6.0,0.0,1.0
catatumbo,catatumbo_c0026,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.7073,0.1111,0.2917,9.0,1.0,2.0
catatumbo,catatumbo_c0027,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1389,0.2083,15.0,1.0,1.0
catatumbo,catatumbo_c0028,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.0,0.0,11.0,0.0,0.0
catatumbo,catatumbo_c0029,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.6222,0.1852,0.0,5.0,1.0,0.0
catatumbo,catatumbo_c0030,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.6,0.25,0.1125,9.0,3.0,1.0
catatumbo,catatumbo_c0031,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.43,0.2222,0.0,6.0,2.0,0.0
catatumbo,catatumbo_c0032,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.7107,0.2222,0.0,8.0,2.0,0.0
catatumbo,catatumbo_c0033,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1238,0.2381,0.0,2.0,3.0,0.0
catatumbo,catatumbo_c0034,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0448,0.1075,0.0,1.0,2.0,0.0
catatumbo,catatumbo_c0035,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0189,0.0709,0.0,1.0,2.0,0.0
catatumbo,catatumbo_c0036,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1696,0.0,0.0,3.0,0.0,0.0
catatumbo,catatumbo_c0037,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.5038,0.1961,0.1324,6.0,2.0,1.0
catatumbo,catatumbo_c0038,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1238,0.0,0.0,2.0,0.0,0.0
catatumbo,catatumbo_c0039,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.2294,0.2632,0.0,3.0,3.0,0.0
catatumbo,catatumbo_c0040,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.3824,0.2917,0.1125,5.0,5.0,1.0
catatumbo,catatumbo_c0041,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.7308,0.3846,0.7115,7.0,3.0,4.0
catatumbo,catatumbo_c0042,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.4859,0.0521,0.0,12.0,1.0,0.0
catatumbo,catatumbo_c0043,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.3103,0.0,0.1406,8.0,0.0,2.0
catatumbo,catatumbo_c0044,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0588,0.0498,0.0739,3.0,2.0,2.0
catatumbo,catatumbo_c0045,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1822,0.1543,0.0417,7.0,5.0,1.0
catatumbo,catatumbo_c0046,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0591,0.1515,0.1023,1.0,2.0,1.0
catatumbo,catatumbo_c0047,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.5548,0.275,0.3273,9.0,4.0,3.0
catatumbo,catatumbo_c0048,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.2218,0.0859,0.0882,7.0,3.0,2.0
catatumbo,catatumbo_c0049,1998.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1444,0.0,0.397,2.0,0.0,4.0
catatumbo,catatumbo_c0050,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0051,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0052,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0053,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0054,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0055,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0056,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
catatumbo,catatumbo_c0057,1293.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.0,0.0,0.0,0.0,0.0,0.0
dabeiba,dabeiba_c0000,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.0,14.0,0.0,0.0
dabeiba,dabeiba_c0001,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,1.0,0.0,6.0,1.0,0.0
dabeiba,dabeiba_c0002,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.0,10.0,0.0,0.0
dabeiba,dabeiba_c0003,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,1.0,0.0,11.0,4.0,0.0
dabeiba,dabeiba_c0004,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.375,0.1667,10.0,3.0,1.0
dabeiba,dabeiba_c0005,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.3781,0.0729,0.0,5.0,1.0,0.0
dabeiba,dabeiba_c0006,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.6644,0.3704,0.0,9.0,4.0,0.0
dabeiba,dabeiba_c0007,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.2564,0.0,23.0,2.0,0.0
dabeiba,dabeiba_c0008,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.0,9.0,0.0,0.0
dabeiba,dabeiba_c0009,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.6222,0.0,0.0,5.0,0.0,0.0
dabeiba,dabeiba_c0010,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.0,9.0,0.0,0.0
dabeiba,dabeiba_c0011,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.5,0.0,0.0,5.0,0.0,0.0
dabeiba,dabeiba_c0012,1998.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.4864,0.2121,0.225,5.0,2.0,1.0
dabeiba,dabeiba_c0013,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.7,0.2179,0.1442,7.0,2.0,1.0
dabeiba,dabeiba_c0014,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.8658,0.0794,0.0952,13.0,1.0,1.0
dabeiba,dabeiba_c0015,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.98,0.0,0.0,12.0,0.0,0.0
dabeiba,dabeiba_c0016,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.1731,10.0,0.0,1.0
dabeiba,dabeiba_c0017,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.7654,0.0,0.0,8.0,0.0,0.0
dabeiba,dabeiba_c0018,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,0.6011,0.0,0.0,5.0,0.0,0.0
dabeiba,dabeiba_c0019,1999.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,1.0,0.625,12.0,3.0,1.0
dabeiba,dabeiba_c0020,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.0,0.0,8.0,0.0,0.0
dabeiba,dabeiba_c0021,2000.0,Dabeiba,2023-01-01,audiencia_reconocimiento,1.0,0.6667,0.0,17.0,4.0,0.0
