corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,0835aff2f7b29057,0835aff2f7b29057_b019,2000,0.0,0.75,0.5,0,1,3,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b000,2000,0.0,0.8333,0.5,0,1,1,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b001,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b002,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b003,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b004,2000,0.0,0.0,1.0,0,3,0,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b005,2000,0.0,0.5,0.5,0,2,2,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b006,2000,0.0,0.0,1.0,0,4,0,3,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b007,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b008,2000,0.0,0.5,1.0,0,1,1,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b009,2000,0.0,0.8333,0.5,0,1,1,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b010,2000,0.0,0.0,0.5,0,3,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b011,2000,0.0,0.6667,0.5,0,1,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b012,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b013,2000,0.0,0.0,1.0,0,2,0,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b014,2000,0.0,0.6,1.0,0,2,1,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b015,2000,1.0,0.4,1.0,1,3,0,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b016,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b017,2000,1.0,0.0,1.0,1,4,0,1,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b018,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,08e5432af3304b3a,08e5432af3304b3a_b019,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b000,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b001,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b002,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b003,2000,1.0,0.0,1.0,2,3,0,1,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b004,2000,1.0,1.0,0.5,3,0,1,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b005,2000,1.0,0.4,0.5,2,3,2,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b006,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b007,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b008,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b009,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,0be911634d3b2d72,0be911634d3b2d72_b010,1239,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b000,2000,0.0,1.0,0.5,0,0,0,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b001,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b002,2000,0.0,0.6667,0.5,0,2,4,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b003,2000,0.0,0.5,0.5,0,2,2,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b004,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b005,2000,0.0,0.4,0.5,0,3,2,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b006,2000,0.0,0.5,0.5,0,3,3,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b007,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b008,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0c26b5b6275ecd41,0c26b5b6275ecd41_b009,1327,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b000,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b001,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b002,2000,0.0,0.25,0.5,0,3,1,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b003,2000,0.0,0.5,0.5,0,3,1,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b004,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b005,2000,0.0,0.0,0.5,0,8,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b006,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b007,2000,0.0,0.0,1.0,0,1,0,1,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b008,2000,1.0,0.25,0.5,1,3,1,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b009,2000,0.0,0.2,0.5,0,4,1,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b010,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b011,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0c6ebf783e619758,0c6ebf783e619758_b012,523,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b000,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b001,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b002,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b003,2000,0.0,0.0,0.5,0,3,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b004,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b005,2000,0.0,0.5,1.0,0,1,1,1,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b006,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0d0427146a475d68,0d0427146a475d68_b007,380,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b000,2000,1.0,0.0,0.5,2,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b001,2000,0.0,0.0,1.0,0,5,0,2,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b002,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b003,2000,1.0,1.0,0.5,3,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b004,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b005,2000,1.0,1.0,0.5,2,0,2,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b006,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b007,2000,1.0,0.0,0.5,2,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b008,2000,1.0,1.0,0.5,2,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b009,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b010,2000,1.0,0.6667,0.5,4,2,2,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b011,2000,1.0,0.0,0.5,4,1,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b012,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b013,2000,1.0,0.0,0.5,1,0,0,0,0,,,,,,,
A,0d799109865a9a1c,0d799109865a9a1c_b014,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
